StartTime,StopTime,StartInd,StopTInd,TrialID
22-Jun-2023 14:09:42,22-Jun-2023 14:10:44,434,2397,M1_T1
22-Jun-2023 14:10:50,22-Jun-2023 14:10:56,2601,2685,M2_T1
22-Jun-2023 14:10:58,22-Jun-2023 14:11:03,2750,2873,M2_T2
22-Jun-2023 14:11:05,22-Jun-2023 14:11:11,2904,2970,M2_T3
22-Jun-2023 14:11:22,22-Jun-2023 14:11:30,3179,3272,M3_T1
22-Jun-2023 14:11:31,22-Jun-2023 14:11:38,3317,3400,M3_T2
22-Jun-2023 14:11:40,22-Jun-2023 14:11:48,3440,3465,M3_T3
22-Jun-2023 14:11:57,22-Jun-2023 14:12:57,3755,4429,M4_T1
22-Jun-2023 14:12:59,22-Jun-2023 14:13:37,4507,4877,M4_T2
22-Jun-2023 14:13:43,22-Jun-2023 14:14:16,5067,5573,M4_T3
22-Jun-2023 14:14:26,22-Jun-2023 14:15:28,5897,7880,M5_T1
